seed,N,radius,p
12324,1000,1.0,0.670000
12324,1000,5.0,0.670000
12324,1000,20.0,0.670000
12324,5000,1.0,0.666400
12324,5000,5.0,0.666400
12324,5000,20.0,0.666400
12324,10000,1.0,0.658900
12324,10000,5.0,0.658900
12324,10000,20.0,0.658900
12324,50000,1.0,0.664040
12324,50000,5.0,0.664040
12324,50000,20.0,0.664040
12324,100000,1.0,0.666140
12324,100000,5.0,0.666140
12324,100000,20.0,0.666140
12324,500000,1.0,0.665606
12324,500000,5.0,0.665606
12324,500000,20.0,0.665606
12324,1000000,1.0,0.666078
12324,1000000,5.0,0.666078
12324,1000000,20.0,0.666078
12324,5000000,1.0,0.666743
12324,5000000,5.0,0.666743
12324,5000000,20.0,0.666743
12324,10000000,1.0,0.666495
12324,10000000,5.0,0.666495
12324,10000000,20.0,0.666495
12324,50000000,1.0,0.666563
12324,50000000,5.0,0.666563
12324,50000000,20.0,0.666563
546373,1000,1.0,0.687000
546373,1000,5.0,0.687000
546373,1000,20.0,0.687000
546373,5000,1.0,0.674600
546373,5000,5.0,0.674600
546373,5000,20.0,0.674600
546373,10000,1.0,0.668800
546373,10000,5.0,0.668800
546373,10000,20.0,0.668800
546373,50000,1.0,0.666820
546373,50000,5.0,0.666820
546373,50000,20.0,0.666820
546373,100000,1.0,0.664900
546373,100000,5.0,0.664900
546373,100000,20.0,0.664900
546373,500000,1.0,0.666304
546373,500000,5.0,0.666304
546373,500000,20.0,0.666304
546373,1000000,1.0,0.667126
546373,1000000,5.0,0.667126
546373,1000000,20.0,0.667126
546373,5000000,1.0,0.666515
546373,5000000,5.0,0.666515
546373,5000000,20.0,0.666515
546373,10000000,1.0,0.666552
546373,10000000,5.0,0.666552
546373,10000000,20.0,0.666552
546373,50000000,1.0,0.666687
546373,50000000,5.0,0.666687
546373,50000000,20.0,0.666687
23657,1000,1.0,0.665000
23657,1000,5.0,0.665000
23657,1000,20.0,0.665000
23657,5000,1.0,0.672400
23657,5000,5.0,0.672400
23657,5000,20.0,0.672400
23657,10000,1.0,0.668400
23657,10000,5.0,0.668400
23657,10000,20.0,0.668400
23657,50000,1.0,0.667780
23657,50000,5.0,0.667780
23657,50000,20.0,0.667780
23657,100000,1.0,0.665260
23657,100000,5.0,0.665260
23657,100000,20.0,0.665260
23657,500000,1.0,0.666968
23657,500000,5.0,0.666968
23657,500000,20.0,0.666968
23657,1000000,1.0,0.666601
23657,1000000,5.0,0.666601
23657,1000000,20.0,0.666601
23657,5000000,1.0,0.666332
23657,5000000,5.0,0.666332
23657,5000000,20.0,0.666332
23657,10000000,1.0,0.666379
23657,10000000,5.0,0.666379
23657,10000000,20.0,0.666379
23657,50000000,1.0,0.666596
23657,50000000,5.0,0.666596
23657,50000000,20.0,0.666596
