seed,N,p
12324,1000,0.153000
12324,5000,0.143200
12324,10000,0.138500
12324,50000,0.140540
12324,100000,0.141040
12324,500000,0.141626
12324,1000000,0.141574
12324,5000000,0.142037
12324,10000000,0.142079
12324,50000000,0.142068
546373,1000,0.145000
546373,5000,0.143600
546373,10000,0.147300
546373,50000,0.143440
546373,100000,0.143350
546373,500000,0.142440
546373,1000000,0.142165
546373,5000000,0.141914
546373,10000000,0.141913
546373,50000000,0.142039
23657,1000,0.129000
23657,5000,0.148000
23657,10000,0.146400
23657,50000,0.143300
23657,100000,0.141790
23657,500000,0.142176
23657,1000000,0.141940
23657,5000000,0.142104
23657,10000000,0.142103
23657,50000000,0.142028
